,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
869,1z@R,9.163333333333334,maser,0.0,0,m1z@R,N,2,19.0,7.0,0.25,11.71,3.77,0.37,11.71,m,5,2.546666666666667,3
870,1z@R,9.163333333333334,razor,0.95,0,r1z@R,N,2,19.0,19.0,6.88,7.11,2.73,1.0,7.11,r,5,-2.0533333333333337,3
873,1zP,7.9350000000000005,hazel,0.3,1,h1zP,N,2,21.0,20.0,1.08,7.12,2.21,0.95,7.12,h,4,-0.8150000000000004,2
874,1zP,7.9350000000000005,nasal,0.0,1,n1zP,N,2,20.0,20.0,2.08,8.75,2.12,1.0,8.75,n,4,0.8149999999999995,2
876,2,7.39125,buy,0.0,1,b2,N,1,36.0,36.0,192.43,5.56,2.08,1.0,5.56,b,2,-1.8312500000000007,16
877,2,7.39125,die,0.0,1,d2,N,1,19.0,19.0,261.14,4.53,1.78,1.0,4.53,d,2,-2.86125,16
878,2,7.39125,guy,1.64,1,g2,N,1,18.0,18.0,762.61,4.11,1.91,1.0,4.11,g,2,-3.28125,16
879,2,7.39125,hie,0.0,1,h2,V,1,19.0,2.0,0.14,11.0,4.24,0.11,11.0,h,2,3.6087499999999997,16
880,2,7.39125,lie,0.0,1,l2,N,1,20.0,20.0,120.25,3.75,0.91,1.0,3.75,l,2,-3.6412500000000003,16
881,2,7.39125,my,3.42,1,m2,PRON,1,21.0,21.0,6762.73,2.72,1.44,1.0,2.72,m,2,-4.671250000000001,16
882,2,7.39125,nigh,0.0,1,n2,ADV,1,20.0,17.0,0.82,11.44,4.77,0.85,11.44,n,2,4.048749999999999,16
883,2,7.39125,phi,0.0,1,f2,N,1,19.0,14.0,0.9,13.36,3.46,0.74,13.36,f,2,5.968749999999999,16
884,2,7.39125,pi,0.48,1,p2,N,1,18.0,16.0,3.67,11.94,3.0,0.89,11.94,p,2,4.548749999999999,16
885,2,7.39125,rye,0.7,1,r2,N,1,19.0,19.0,4.16,9.26,3.77,1.0,9.26,r,2,1.8687499999999995,16
886,2,7.39125,shy,0.0,1,S2,N,1,19.0,19.0,18.37,5.32,1.95,1.0,5.32,S,2,-2.07125,16
887,2,7.39125,sigh,1.11,1,s2,N,1,18.0,18.0,3.39,7.39,2.35,1.0,7.39,s,2,-0.0012500000000006395,16
888,2,7.39125,thigh,1.48,1,T2,N,1,19.0,19.0,3.75,6.42,1.61,1.0,6.42,T,2,-0.9712500000000004,16
889,2,7.39125,tie,1.53,1,t2,N,1,19.0,19.0,44.43,4.74,1.82,1.0,4.74,t,2,-2.65125,16
890,2,7.39125,vie,0.6,1,v2,V,1,38.0,24.0,2.16,12.75,3.08,0.63,12.75,v,2,5.35875,16
891,2,7.39125,why,2.6,1,w2,ADV,1,20.0,20.0,2248.76,3.97,2.11,1.0,3.97,w,2,-3.42125,16
896,2@R,9.331111111111111,dire,0.7,1,d2@R,A,2,19.0,19.0,2.2,11.63,2.67,1.0,11.63,d,4,2.2988888888888894,9
897,2@R,9.331111111111111,fire,2.21,1,f2@R,N,2,20.0,20.0,215.49,3.25,1.16,1.0,3.25,f,4,-6.081111111111111,9
898,2@R,9.331111111111111,hire,0.7,1,h2@R,N,2,19.0,19.0,25.53,9.0,2.13,1.0,9.0,h,4,-0.33111111111111136,9
899,2@R,9.331111111111111,mire,0.0,1,m2@R,N,2,20.0,16.0,0.43,13.94,4.89,0.8,13.94,m,4,4.608888888888888,9
900,2@R,9.331111111111111,pyre,0.0,1,p2@R,N,2,21.0,15.0,0.29,14.07,4.32,0.71,14.07,p,4,4.738888888888889,9
901,2@R,9.331111111111111,shire,0.3,1,S2@R,N,2,18.0,13.0,0.86,10.92,3.09,0.72,10.92,S,4,1.5888888888888886,9
902,2@R,9.331111111111111,sire,0.0,1,s2@R,N,2,18.0,17.0,13.16,10.12,3.76,0.94,10.12,s,4,0.7888888888888879,9
903,2@R,9.331111111111111,tire,0.9,1,t2@R,V,2,19.0,19.0,12.37,6.16,1.64,1.0,6.16,t,4,-3.171111111111111,9
904,2@R,9.331111111111111,wire,1.64,1,w2@R,N,2,18.0,18.0,27.51,4.89,1.78,1.0,4.89,w,4,-4.441111111111112,9
906,2@bP,12.61,liable,1.2,1,l2@bP,A,3,19.0,19.0,7.24,11.11,3.03,1.0,11.11,l,5,-1.5,2
907,2@bP,12.61,viable,0.85,1,v2@bP,A,3,18.0,18.0,2.37,14.11,3.45,1.0,14.11,v,5,1.5,2
918,2@l,10.713333333333333,dial,0.6,1,d2@l,N,2,19.0,19.0,8.86,6.68,3.16,1.0,6.68,d,4,-4.033333333333333,3
919,2@l,10.713333333333333,phial,0.0,1,f2@l,N,2,18.0,5.0,0.06,15.4,2.88,0.28,15.4,f,4,4.686666666666667,3
920,2@l,10.713333333333333,vial,0.0,1,v2@l,N,2,19.0,18.0,1.29,10.06,2.92,0.95,10.06,v,4,-0.6533333333333324,3
929,2@n,10.635000000000002,lion,1.4,1,l2@n,N,2,19.0,19.0,15.35,4.42,1.74,1.0,4.42,l,4,-6.215000000000002,2
930,2@n,10.635000000000002,scion,0.0,0,s2@n,N,2,19.0,13.0,0.24,16.85,5.79,0.68,16.85,s,4,6.215,2
946,2@rI,9.0,diary,1.34,1,d2@rI,N,3,18.0,18.0,8.98,7.72,2.8,1.0,7.72,d,5,-1.2800000000000002,2
947,2@rI,9.0,fiery,0.7,0,f2@rI,A,3,19.0,18.0,2.02,10.28,4.13,0.95,10.28,f,5,1.2799999999999994,2
948,2@rIN,8.38,tiring,0.6,1,t2@rIN,A,3,20.0,20.0,1.18,7.55,2.65,1.0,7.55,t,6,-0.830000000000001,2
949,2@rIN,8.38,wiring,0.3,1,w2@rIN,N,3,19.0,19.0,2.31,9.21,2.49,1.0,9.21,w,6,0.8300000000000001,2
950,2@s,11.760000000000002,bias,1.0,1,b2@s,N,2,18.0,17.0,1.61,10.71,2.73,0.94,10.71,b,4,-1.0500000000000007,2
951,2@s,11.760000000000002,pious,0.78,1,p2@s,A,2,19.0,16.0,0.94,12.81,3.08,0.84,12.81,p,4,1.049999999999999,2
955,2@t,9.6,diet,1.75,1,d2@t,N,2,20.0,20.0,15.37,9.25,3.02,1.0,9.25,d,4,-0.34999999999999964,2
956,2@t,9.6,riot,1.34,1,r2@t,N,2,19.0,19.0,6.49,9.95,2.48,1.0,9.95,r,4,0.34999999999999964,2
960,2D,11.3425,lithe,0.0,1,l2D,A,1,19.0,12.0,0.04,11.0,5.41,0.63,11.0,l,3,-0.34249999999999936,4
961,2D,11.3425,scythe,0.0,1,s2D,N,1,18.0,15.0,0.31,11.87,2.8,0.83,11.87,s,3,0.5274999999999999,4
962,2D,11.3425,tithe,0.3,1,t2D,N,1,19.0,16.0,0.02,11.5,4.91,0.84,11.5,t,3,0.15750000000000064,4
963,2D,11.3425,writhe,0.85,1,r2D,V,1,20.0,14.0,0.18,11.0,3.55,0.7,11.0,r,3,-0.34249999999999936,4
979,2bP,9.535,bible,0.3,1,b2bP,N,2,19.0,19.0,18.33,4.95,1.87,1.0,4.95,b,4,-4.585,2
980,2bP,9.535,libel,0.48,1,l2bP,N,2,19.0,16.0,1.1,14.12,4.01,0.84,14.12,l,4,4.584999999999999,2
985,2d,7.422499999999999,bide,0.0,1,b2d,V,1,21.0,18.0,0.55,13.56,3.29,0.86,13.56,b,3,6.137500000000001,8
986,2d,7.422499999999999,chide,0.3,1,J2d,V,1,18.0,15.0,0.1,12.33,2.99,0.83,12.33,J,3,4.907500000000001,8
987,2d,7.422499999999999,guide,1.53,1,g2d,N,1,18.0,18.0,17.84,7.11,1.71,1.0,7.11,g,3,-0.3124999999999991,8
988,2d,7.422499999999999,hide,0.0,1,h2d,N,1,19.0,19.0,69.69,4.47,2.14,1.0,4.47,h,3,-2.9524999999999997,8
989,2d,7.422499999999999,ride,1.3,1,r2d,N,1,18.0,18.0,135.37,4.67,2.17,1.0,4.67,r,3,-2.7524999999999995,8
990,2d,7.422499999999999,side,2.66,1,s2d,N,1,18.0,18.0,200.92,4.72,1.27,1.0,4.72,s,3,-2.7024999999999997,8
991,2d,7.422499999999999,tide,1.48,1,t2d,N,1,19.0,19.0,7.35,6.68,2.19,1.0,6.68,t,3,-0.7424999999999997,8
992,2d,7.422499999999999,wide,2.08,1,w2d,A,1,19.0,19.0,23.8,5.84,2.14,1.0,5.84,w,3,-1.5824999999999996,8
1003,2f,7.964,fife,0.0,1,f2f,N,1,22.0,16.0,1.04,11.28,3.97,0.73,11.28,f,3,3.315999999999999,5
1004,2f,7.964,knife,1.64,1,n2f,N,1,1929.0,1929.0,46.8,4.15,1.8,1.0,4.15,n,3,-3.814,5
1005,2f,7.964,life,2.92,1,l2f,N,1,19.0,19.0,796.65,5.89,3.23,1.0,5.89,l,3,-2.0740000000000007,5
1006,2f,7.964,rife,0.0,1,r2f,A,1,19.0,18.0,0.51,12.83,3.68,0.95,12.83,r,3,4.866,5
1007,2f,7.964,wife,2.39,1,w2f,N,1,18.0,18.0,348.92,5.67,3.2,1.0,5.67,w,3,-2.2940000000000005,5
1011,2fH,10.205,hyphen,0.0,1,h2fH,N,2,19.0,19.0,0.22,8.53,1.74,1.0,8.53,h,4,-1.6750000000000007,2
1012,2fH,10.205,siphon,0.0,1,s2fH,N,2,18.0,17.0,0.27,11.88,3.33,0.94,11.88,s,4,1.6750000000000007,2
1022,2k,9.265,bike,1.0,1,b2k,N,1,19.0,19.0,25.88,4.79,1.65,1.0,4.79,b,3,-4.4750000000000005,8
1023,2k,9.265,dike,0.48,1,d2k,N,1,18.0,17.0,0.41,12.47,2.94,0.94,12.47,d,3,3.205,8
1024,2k,9.265,hike,0.3,1,h2k,N,1,20.0,20.0,6.53,9.4,3.65,1.0,9.4,h,3,0.1349999999999998,8
1025,2k,9.265,kike,0.0,1,k2k,N,1,19.0,10.0,0.43,16.2,3.49,0.53,16.2,k,3,6.934999999999999,8
1026,2k,9.265,like,0.0,1,l2k,N,1,21.0,21.0,3998.96,3.69,1.89,1.0,3.69,l,3,-5.575000000000001,8
1027,2k,9.265,mike,1.49,1,m2k,N,1,20.0,18.0,111.9,6.78,2.99,0.9,6.78,m,3,-2.4850000000000003,8
1028,2k,9.265,pike,0.78,1,p2k,N,1,20.0,18.0,4.59,12.06,3.11,0.9,12.06,p,3,2.795,8
1029,2k,9.265,tyke,0.0,1,t2k,N,1,19.0,15.0,0.53,8.73,4.13,0.79,8.73,t,3,-0.5350000000000001,8
1033,2k@,14.215,mica,0.0,1,m2k@,N,2,19.0,12.0,0.12,12.25,3.93,0.63,12.25,m,4,-1.9649999999999999,2
1034,2k@,14.215,pica,0.0,1,p2k@,N,2,20.0,11.0,0.08,16.18,4.85,0.55,16.18,p,4,1.9649999999999999,2
1050,2l,9.235555555555555,bile,0.3,1,b2l,N,1,20.0,18.0,0.78,11.67,2.93,0.9,11.67,b,3,2.434444444444445,9
1051,2l,9.235555555555555,file,1.58,1,f2l,N,1,19.0,19.0,44.04,8.21,2.78,1.0,8.21,f,3,-1.0255555555555542,9
1052,2l,9.235555555555555,guile,0.0,1,g2l,N,1,18.0,8.0,1.02,13.25,2.25,0.44,13.25,g,3,4.014444444444445,9
1053,2l,9.235555555555555,mile,2.23,1,m2l,N,1,20.0,20.0,21.0,7.65,2.21,1.0,7.65,m,3,-1.5855555555555547,9
1054,2l,9.235555555555555,pile,1.48,1,p2l,N,1,19.0,19.0,13.18,5.79,2.7,1.0,5.79,p,3,-3.445555555555555,9
1055,2l,9.235555555555555,rile,0.0,1,r2l,V,1,22.0,19.0,0.33,10.95,3.88,0.86,10.95,r,3,1.7144444444444442,9
1056,2l,9.235555555555555,tile,1.0,1,t2l,N,1,20.0,20.0,2.12,6.8,2.04,1.0,6.8,t,3,-2.4355555555555553,9
1057,2l,9.235555555555555,vile,0.6,0,v2l,A,1,19.0,19.0,4.43,11.74,3.87,1.0,11.74,v,3,2.504444444444445,9
1058,2l,9.235555555555555,while,2.2,1,w2l,N,1,20.0,20.0,349.43,7.06,2.04,1.0,7.06,w,3,-2.1755555555555555,9
1069,2ld,6.436666666666667,child,3.03,1,J2ld,N,1,20.0,20.0,157.65,5.15,1.7,1.0,5.15,J,4,-1.286666666666667,3
1070,2ld,6.436666666666667,mild,1.45,1,m2ld,A,1,20.0,20.0,4.8,8.05,2.56,1.0,8.05,m,4,1.6133333333333333,3
1071,2ld,6.436666666666667,wild,1.92,1,w2ld,A,1,19.0,19.0,57.31,6.11,2.51,1.0,6.11,w,4,-0.3266666666666671,3
1075,2m,7.678333333333334,chime,0.3,1,J2m,N,1,18.0,18.0,0.92,7.83,2.57,1.0,7.83,J,3,0.1516666666666664,6
1076,2m,7.678333333333334,dime,0.7,1,d2m,N,1,19.0,19.0,12.06,5.74,2.05,1.0,5.74,d,3,-1.9383333333333335,6
1077,2m,7.678333333333334,lime,0.95,1,l2m,N,1,18.0,18.0,3.29,6.61,2.99,1.0,6.61,l,3,-1.0683333333333334,6
1078,2m,7.678333333333334,mime,0.48,1,m2m,N,1,19.0,17.0,1.14,8.0,2.26,0.89,8.0,m,3,0.3216666666666663,6
1079,2m,7.678333333333334,rhyme,0.7,1,r2m,N,1,19.0,19.0,4.41,5.47,1.98,1.0,5.47,r,3,-2.208333333333334,6
1080,2m,7.678333333333334,thyme,0.48,1,t2m,N,1,21.0,19.0,0.2,12.42,5.21,0.9,12.42,t,3,4.741666666666666,6
1084,2n,6.396666666666667,chine,0.0,1,J2n,N,1,18.0,6.0,0.08,10.33,3.5,0.33,10.33,J,3,3.9333333333333327,12
1085,2n,6.396666666666667,dine,1.49,1,d2n,V,1,21.0,21.0,4.29,8.95,4.02,1.0,8.95,d,3,2.553333333333332,12
1086,2n,6.396666666666667,fine,1.04,1,f2n,N,1,18.0,18.0,598.08,7.44,2.68,1.0,7.44,f,3,1.043333333333333,12
1087,2n,6.396666666666667,line,2.46,1,l2n,N,1,20.0,20.0,206.18,4.85,2.52,1.0,4.85,l,3,-1.5466666666666677,12
1088,2n,6.396666666666667,mine,1.4,1,m2n,N,1,20.0,20.0,250.98,4.24,2.42,1.0,4.24,m,3,-2.156666666666667,12
1089,2n,6.396666666666667,nine,0.0,1,n2n,N,1,21.0,21.0,67.47,3.23,1.3,1.0,3.23,n,3,-3.1666666666666674,12
1090,2n,6.396666666666667,pine,1.23,1,p2n,N,1,19.0,19.0,6.2,5.53,2.14,1.0,5.53,p,3,-0.8666666666666671,12
1091,2n,6.396666666666667,shine,0.3,1,S2n,N,1,19.0,19.0,20.65,5.79,2.12,1.0,5.79,S,3,-0.6066666666666674,12
1092,2n,6.396666666666667,sign,2.14,1,s2n,N,1,19.0,19.0,133.27,4.32,1.45,1.0,4.32,s,3,-2.076666666666667,12
1093,2n,6.396666666666667,tine,0.48,1,t2n,N,1,18.0,10.0,0.18,9.6,3.37,0.56,9.6,t,3,3.2033333333333323,12
1094,2n,6.396666666666667,vine,0.78,1,v2n,N,1,19.0,19.0,2.1,6.95,3.36,1.0,6.95,v,3,0.5533333333333328,12
1095,2n,6.396666666666667,whine,0.48,1,w2n,N,1,19.0,19.0,1.63,5.53,2.48,1.0,5.53,w,3,-0.8666666666666671,12
1103,2n@s,7.9350000000000005,minus,0.0,1,m2n@s,N,2,21.0,21.0,7.86,5.82,1.5,1.0,5.82,m,5,-2.115,2
1104,2n@s,7.9350000000000005,sinus,0.48,1,s2n@s,N,2,19.0,19.0,1.75,10.05,4.24,1.0,10.05,s,5,2.115,2
1106,2nIN,8.340000000000002,lining,0.6,1,l2nIN,N,2,20.0,20.0,4.53,9.3,1.81,1.0,9.3,l,5,0.9599999999999991,3
1107,2nIN,8.340000000000002,mining,0.95,1,m2nIN,N,2,18.0,18.0,3.16,8.72,2.11,1.0,8.72,m,5,0.379999999999999,3
1108,2nIN,8.340000000000002,shining,1.04,1,S2nIN,A,2,19.0,19.0,9.82,7.0,3.27,1.0,7.0,S,5,-1.3400000000000016,3
1113,2nd,6.904285714285714,bind,0.0,1,b2nd,N,1,21.0,21.0,3.35,10.24,2.95,1.0,10.24,b,4,3.3357142857142863,7
1114,2nd,6.904285714285714,find,0.0,1,f2nd,N,1,18.0,18.0,830.96,5.78,3.89,1.0,5.78,f,4,-1.1242857142857137,7
1115,2nd,6.904285714285714,hind,0.3,1,h2nd,N,1,20.0,19.0,2.45,9.21,3.47,0.95,9.21,h,4,2.305714285714287,7
1116,2nd,6.904285714285714,kind,2.69,1,k2nd,N,1,18.0,18.0,590.69,4.89,1.23,1.0,4.89,k,4,-2.0142857142857142,7
1117,2nd,6.904285714285714,mind,2.52,1,m2nd,N,1,19.0,19.0,484.61,5.37,1.86,1.0,5.37,m,4,-1.5342857142857138,7
1118,2nd,6.904285714285714,rind,0.3,1,r2nd,N,1,20.0,19.0,0.27,8.95,3.58,0.95,8.95,r,4,2.0457142857142854,7
1119,2nd,6.904285714285714,wind,0.0,1,w2nd,N,1,19.0,19.0,59.37,3.89,1.37,1.0,3.89,w,4,-3.014285714285714,7
1126,2p,6.672499999999999,pipe,1.49,1,p2p,N,1,18.0,18.0,19.39,8.17,2.23,1.0,8.17,p,3,1.4975000000000005,4
1127,2p,6.672499999999999,ripe,1.0,1,r2p,A,1,18.0,18.0,4.18,7.11,2.87,1.0,7.11,r,3,0.4375000000000009,4
1128,2p,6.672499999999999,type,2.14,1,t2p,N,1,19.0,19.0,60.65,6.58,2.46,1.0,6.58,t,3,-0.09249999999999936,4
1129,2p,6.672499999999999,wipe,0.0,1,w2p,N,1,18.0,18.0,16.88,4.83,2.07,1.0,4.83,w,3,-1.8424999999999994,4
1148,2s,6.635,dice,0.3,1,d2s,N,1,19.0,19.0,10.45,6.37,2.22,1.0,6.37,d,3,-0.2649999999999997,4
1149,2s,6.635,nice,2.18,1,n2s,A,1,19.0,19.0,649.51,3.95,1.51,1.0,3.95,n,3,-2.6849999999999996,4
1150,2s,6.635,rice,1.43,1,r2s,N,1,18.0,18.0,15.08,3.72,1.41,1.0,3.72,r,3,-2.9149999999999996,4
1151,2s,6.635,vice,0.0,1,v2s,N,1,18.0,18.0,18.63,12.5,2.79,1.0,12.5,v,3,5.865,4
1163,2t,7.108181818181817,bight,0.0,1,b2t,N,1,19.0,9.0,0.14,14.11,3.76,0.47,14.11,b,3,7.001818181818183,11
1164,2t,7.108181818181817,cite,1.04,1,s2t,V,1,19.0,17.0,0.94,13.29,3.46,0.89,13.29,s,3,6.1818181818181825,11
1165,2t,7.108181818181817,fight,1.57,1,f2t,N,1,19.0,19.0,201.08,5.47,2.06,1.0,5.47,f,3,-1.6381818181818169,11
1166,2t,7.108181818181817,height,1.67,1,h2t,N,1,19.0,19.0,9.33,5.42,1.43,1.0,5.42,h,3,-1.6881818181818167,11
1167,2t,7.108181818181817,kite,0.7,1,k2t,N,1,19.0,19.0,2.29,4.58,1.64,1.0,4.58,k,3,-2.5281818181818165,11
1168,2t,7.108181818181817,knight,1.11,1,n2t,N,1,20.0,20.0,26.76,6.26,1.76,1.0,6.26,n,3,-0.8481818181818168,11
1169,2t,7.108181818181817,light,2.46,1,l2t,N,1,19.0,19.0,165.2,4.05,1.99,1.0,4.05,l,3,-3.058181818181817,11
1170,2t,7.108181818181817,mite,0.3,1,m2t,N,1,20.0,20.0,1.18,11.35,2.68,1.0,11.35,m,3,4.241818181818183,11
1171,2t,7.108181818181817,right,2.06,1,r2t,N,1,22.0,22.0,4008.39,4.35,1.59,1.0,4.35,r,3,-2.758181818181817,11
1172,2t,7.108181818181817,tight,1.59,1,t2t,A,1,21.0,21.0,50.92,5.25,1.61,1.0,5.25,t,3,-1.8581818181818166,11
1173,2t,7.108181818181817,white,1.66,1,w2t,N,1,18.0,18.0,171.45,4.06,1.66,1.0,4.06,w,3,-3.048181818181817,11
1177,2tIN,8.7025,lighting,1.08,1,l2tIN,N,2,21.0,21.0,6.33,7.48,3.01,1.0,7.48,l,5,-1.2225000000000001,4
1178,2tIN,8.7025,sighting,0.0,1,s2tIN,N,2,19.0,19.0,1.55,9.79,3.08,1.0,9.79,s,5,1.0874999999999986,4
1179,2tIN,8.7025,whiting,0.0,0,w2tIN,N,2,19.0,13.0,0.61,12.77,3.19,0.68,12.77,w,5,4.067499999999999,4
1180,2tIN,8.7025,writing,1.75,1,r2tIN,N,2,22.0,22.0,55.92,4.77,1.53,1.0,4.77,r,5,-3.932500000000001,4
1182,2tP,8.3,title,1.64,1,t2tP,N,2,19.0,19.0,18.57,6.32,3.18,1.0,6.32,t,4,-1.9800000000000004,2
1183,2tP,8.3,vital,1.65,0,v2tP,A,2,18.0,18.0,7.76,10.28,2.87,1.0,10.28,v,4,1.9799999999999986,2
1191,2v,7.93,dive,0.48,1,d2v,N,1,19.0,19.0,12.82,7.21,2.53,1.0,7.21,d,3,-0.7199999999999998,5
1192,2v,7.93,five,0.0,1,f2v,N,1,20.0,20.0,285.45,4.51,1.36,1.0,4.51,f,3,-3.42,5
1193,2v,7.93,hive,0.6,1,h2v,N,1,18.0,18.0,0.98,6.89,2.56,1.0,6.89,h,3,-1.04,5
1194,2v,7.93,jive,0.0,1,_2v,N,1,18.0,18.0,1.69,10.33,3.34,1.0,10.33,_,3,2.4000000000000004,5
1195,2v,7.93,rive,0.3,1,r2v,V,1,18.0,7.0,0.06,10.71,4.82,0.39,10.71,r,3,2.780000000000001,5
1203,2z,7.8675,guise,0.6,1,g2z,N,1,18.0,16.0,0.55,13.12,3.4,0.89,13.12,g,3,5.2524999999999995,4
1204,2z,7.8675,rise,1.67,1,r2z,N,1,18.0,18.0,27.43,6.72,2.85,1.0,6.72,r,3,-1.1475,4
1205,2z,7.8675,size,2.09,1,s2z,N,1,19.0,19.0,46.14,4.84,2.48,1.0,4.84,s,3,-3.0275,4
1206,2z,7.8675,wise,0.0,1,w2z,N,1,19.0,19.0,28.47,6.79,2.55,1.0,6.79,w,3,-1.0774999999999997,4
1208,2z@R,9.836666666666666,geyser,0.3,0,g2z@R,N,2,18.0,18.0,0.22,10.11,2.3,1.0,10.11,g,5,0.27333333333333343,3
1209,2z@R,9.836666666666666,miser,0.0,0,m2z@R,N,2,18.0,14.0,0.49,11.57,3.67,0.78,11.57,m,5,1.7333333333333343,3
1210,2z@R,9.836666666666666,visor,0.0,0,v2z@R,N,2,18.0,18.0,0.59,7.83,2.66,1.0,7.83,v,5,-2.006666666666666,3
1222,3J,9.01,birch,0.6,1,b3J,N,1,22.0,21.0,1.55,10.84,4.29,0.95,10.84,b,3,1.83,5
1223,3J,9.01,church,2.26,1,J3J,N,1,20.0,20.0,69.67,5.15,1.76,1.0,5.15,J,3,-3.8599999999999994,5
1224,3J,9.01,lurch,0.0,1,l3J,N,1,18.0,17.0,0.84,11.18,3.26,0.94,11.18,l,3,2.17,5
1225,3J,9.01,perch,0.6,1,p3J,N,1,19.0,19.0,0.98,9.16,3.45,1.0,9.16,p,3,0.15000000000000036,5
1226,3J,9.01,search,1.68,1,s3J,N,1,18.0,18.0,48.37,8.72,3.34,1.0,8.72,s,3,-0.28999999999999915,5
1232,3R,9.015714285714285,burr,0.0,1,b3R,N,1,18.0,18.0,0.69,9.33,4.1,1.0,9.33,b,3,0.31428571428571495,7
1233,3R,9.015714285714285,cur,0.0,1,k3R,N,1,21.0,10.0,0.61,14.6,5.97,0.48,14.6,k,3,5.5842857142857145,7
1234,3R,9.015714285714285,fir,0.48,1,f3R,N,1,18.0,16.0,0.43,8.75,2.38,0.89,8.75,f,3,-0.2657142857142851,7
1235,3R,9.015714285714285,her,3.59,1,h3R,PRON,1,20.0,20.0,2835.82,5.09,2.45,1.0,5.09,h,3,-3.9257142857142853,7
1236,3R,9.015714285714285,myrrh,0.0,1,m3R,N,1,18.0,13.0,0.25,10.31,5.04,0.72,10.31,m,3,1.2942857142857154,7
1237,3R,9.015714285714285,per,2.56,1,p3R,PREP,1,21.0,21.0,22.37,8.66,1.67,1.0,8.66,p,3,-0.355714285714285,7
1238,3R,9.015714285714285,sir,1.76,1,s3R,N,1,19.0,19.0,964.47,6.37,3.04,1.0,6.37,s,3,-2.645714285714285,7
1242,3T,11.389999999999999,berth,0.7,1,b3T,N,1,18.0,15.0,0.78,11.2,3.47,0.83,11.2,b,3,-0.1899999999999995,5
1243,3T,11.389999999999999,dearth,0.0,1,d3T,N,1,19.0,11.0,0.1,14.27,3.85,0.58,14.27,d,3,2.880000000000001,5
1244,3T,11.389999999999999,firth,0.0,1,f3T,N,1,19.0,9.0,0.16,12.33,5.2,0.47,12.33,f,3,0.9400000000000013,5
1245,3T,11.389999999999999,mirth,0.3,1,m3T,N,1,19.0,15.0,0.22,12.07,3.47,0.79,12.07,m,3,0.6800000000000015,5
1246,3T,11.389999999999999,worth,1.11,1,w3T,N,1,21.0,21.0,109.2,7.08,2.87,1.0,7.08,w,3,-4.309999999999999,5
1247,3_,11.528,dirge,0.0,1,d3_,N,1,19.0,12.0,0.18,14.17,3.07,0.63,14.17,d,3,2.6419999999999995,5
1248,3_,11.528,merge,1.08,1,m3_,V,1,19.0,19.0,1.39,10.68,2.94,1.0,10.68,m,3,-0.8480000000000008,5
1249,3_,11.528,purge,0.3,1,p3_,N,1,18.0,18.0,1.61,11.56,3.68,1.0,11.56,p,3,0.03200000000000003,5
1250,3_,11.528,surge,0.85,1,s3_,N,1,18.0,17.0,1.84,9.82,3.0,0.94,9.82,s,3,-1.7080000000000002,5
1251,3_,11.528,verge,0.95,1,v3_,N,1,19.0,17.0,3.27,11.41,2.58,0.89,11.41,v,3,-0.11800000000000033,5
1258,3b,7.953333333333333,curb,0.0,1,k3b,N,1,21.0,21.0,4.1,6.81,2.99,1.0,6.81,k,3,-1.1433333333333335,3
1259,3b,7.953333333333333,herb,1.18,1,h3b,N,1,19.0,19.0,4.98,9.05,2.97,1.0,9.05,h,3,1.0966666666666676,3
1260,3b,7.953333333333333,verb,0.48,1,v3b,N,1,21.0,21.0,1.06,8.0,2.61,1.0,8.0,v,3,0.046666666666666856,3
1264,3b@n,10.645,bourbon,0.6,1,b3b@n,N,2,19.0,19.0,6.25,11.05,3.06,1.0,11.05,b,5,0.40500000000000114,2
1265,3b@n,10.645,turban,0.48,1,t3b@n,N,2,18.0,17.0,1.29,10.24,3.36,0.94,10.24,t,5,-0.40499999999999936,2
1266,3b@t,10.365,sherbet,0.0,1,S3b@t,N,2,18.0,17.0,0.57,7.0,2.18,0.94,7.0,S,5,-3.365,2
1267,3b@t,10.365,turbot,0.0,1,t3b@t,N,2,19.0,11.0,0.02,13.73,3.69,0.58,13.73,t,5,3.365,2
1273,3d,8.0475,bird,2.01,1,b3d,N,1,21.0,21.0,45.45,3.52,1.66,1.0,3.52,b,3,-4.5275,8
1274,3d,8.0475,curd,0.6,1,k3d,N,1,18.0,18.0,0.43,10.17,3.42,1.0,10.17,k,3,2.1225000000000005,8
1275,3d,8.0475,gird,0.3,1,g3d,V,1,21.0,12.0,0.14,12.83,4.13,0.57,12.83,g,3,4.782500000000001,8
1276,3d,8.0475,herd,1.2,1,h3d,N,1,19.0,19.0,7.06,7.74,3.38,1.0,7.74,h,3,-0.3074999999999992,8
1277,3d,8.0475,surd,0.0,1,s3d,N,1,18.0,4.0,0.06,12.75,2.22,0.22,12.75,s,3,4.702500000000001,8
1278,3d,8.0475,third,1.15,1,T3d,N,1,22.0,22.0,74.53,4.58,1.93,1.0,4.58,T,3,-3.4674999999999994,8
1279,3d,8.0475,turd,0.0,1,t3d,N,1,20.0,19.0,2.76,8.37,4.36,0.95,8.37,t,3,0.3224999999999998,8
1280,3d,8.0475,word,2.69,1,w3d,N,1,19.0,19.0,235.55,4.42,1.74,1.0,4.42,w,3,-3.6274999999999995,8
