,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
19,#R,7.774444444444445,mar,0.7,1,m#R,V,1,19.0,19.0,4.02,10.95,4.74,1.0,10.95,m,3,3.1755555555555546,9
20,#R,7.774444444444445,par,0.6,1,p#R,N,1,19.0,19.0,4.96,10.16,3.24,1.0,10.16,p,3,2.3855555555555554,9
21,#R,7.774444444444445,tar,0.7,1,t#R,N,1,19.0,18.0,3.14,7.22,2.62,0.95,7.22,t,3,-0.554444444444445,9
22,#S,10.505,harsh,1.3,1,h#S,A,1,21.0,21.0,7.1,10.38,3.17,1.0,10.38,h,3,-0.125,2
23,#S,10.505,marsh,1.26,1,m#S,N,1,20.0,20.0,3.51,10.63,2.61,1.0,10.63,m,3,0.125,2
27,#T,8.485000000000001,bath,1.67,1,b#T,N,1,1934.0,1934.0,31.12,3.23,1.56,1.0,3.23,b,3,-5.255000000000001,4
28,#T,8.485000000000001,hearth,0.7,1,h#T,N,1,20.0,20.0,0.67,10.05,3.25,1.0,10.05,h,3,1.5649999999999995,4
29,#T,8.485000000000001,lath,0.0,1,l#T,N,1,18.0,11.0,0.06,14.55,3.45,0.61,14.55,l,3,6.0649999999999995,4
30,#T,8.485000000000001,path,1.79,1,p#T,N,1,18.0,18.0,24.55,6.11,2.95,1.0,6.11,p,3,-2.375000000000001,4
31,#_,7.506666666666668,barge,0.7,1,b#_,N,1,19.0,18.0,3.88,9.28,3.37,0.95,9.28,b,3,1.7733333333333317,3
32,#_,7.506666666666668,charge,1.98,1,J#_,N,1,20.0,20.0,89.39,7.5,3.2,1.0,7.5,J,3,-0.006666666666667709,3
33,#_,7.506666666666668,large,2.64,1,l#_,A,1,19.0,19.0,41.45,5.74,2.23,1.0,5.74,l,3,-1.7666666666666675,3
39,#b,10.965,barb,0.3,1,b#b,N,1,22.0,21.0,2.31,9.88,3.62,0.95,9.88,b,3,-1.084999999999999,2
40,#b,10.965,garb,0.3,1,g#b,N,1,19.0,19.0,0.31,12.05,3.57,1.0,12.05,g,3,1.0850000000000009,2
60,#d,9.142222222222223,bard,0.0,1,b#d,N,1,18.0,14.0,0.8,12.86,3.03,0.78,12.86,b,3,3.7177777777777763,9
61,#d,9.142222222222223,card,1.85,1,k#d,N,1,20.0,20.0,85.43,6.2,2.26,1.0,6.2,k,3,-2.942222222222223,9
62,#d,9.142222222222223,chard,0.0,1,J#d,N,1,18.0,14.0,0.1,14.0,3.42,0.78,14.0,J,3,4.857777777777777,9
63,#d,9.142222222222223,guard,1.72,1,g#d,N,1,20.0,20.0,58.2,6.25,2.07,1.0,6.25,g,3,-2.892222222222223,9
64,#d,9.142222222222223,hard,2.32,1,h#d,A,1,18.0,18.0,307.84,4.39,2.15,1.0,4.39,h,3,-4.7522222222222235,9
65,#d,9.142222222222223,lard,0.3,1,l#d,N,1,19.0,19.0,1.69,9.74,3.8,1.0,9.74,l,3,0.5977777777777771,9
66,#d,9.142222222222223,pard,0.0,1,p#d,N,1,21.0,3.0,1.04,15.0,4.58,0.14,15.0,p,3,5.857777777777777,9
67,#d,9.142222222222223,shard,0.0,1,S#d,N,1,20.0,20.0,0.73,9.9,3.65,1.0,9.9,S,3,0.7577777777777772,9
68,#d,9.142222222222223,yard,1.94,1,j#d,N,1,18.0,18.0,25.06,3.94,1.7,1.0,3.94,j,3,-5.202222222222224,9
