,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,Concreteness,onset,word_length,concreteness_impact,set_size
138,#nIS,3.84,tarnish,0.0,0,t#nIS,N,2,0,3.29,1.3,0,28,1.0,19,Verb,3.29,t,5,-0.5499999999999998,3
139,#nIS,3.84,varnish,0.3,1,v#nIS,N,2,0,4.12,1.03,1,27,0.96,21,Noun,4.12,v,5,0.28000000000000025,3
147,#ns,3.3433333333333337,chance,2.24,1,J#ns,N,1,0,1.64,0.99,1,29,0.97,12303,Noun,1.64,J,4,-1.7033333333333338,3
148,#ns,3.3433333333333337,dance,1.57,1,d#ns,N,1,0,4.32,1.22,0,28,1.0,7550,Verb,4.32,d,4,0.9766666666666666,3
149,#ns,3.3433333333333337,lance,0.3,1,l#ns,N,1,0,4.07,1.19,0,29,1.0,554,Noun,4.07,l,4,0.7266666666666666,3
153,#p,4.4433333333333325,carp,0.7,1,k#p,N,1,0,4.62,0.9,0,29,1.0,39,Noun,4.62,k,3,0.17666666666666764,3
154,#p,4.4433333333333325,harp,0.48,1,h#p,N,1,0,4.85,0.46,0,27,1.0,134,Noun,4.85,h,3,0.4066666666666672,3
155,#p,4.4433333333333325,sharp,0.0,1,S#p,N,1,0,3.86,1.22,0,29,1.0,1213,Adjective,3.86,S,3,-0.5833333333333326,3
163,#rIN,2.365,barring,0.0,1,b#rIN,PREP,2,0,2.37,1.24,3,30,0.9,33,Verb,2.37,b,5,0.004999999999999893,2
164,#rIN,2.365,jarring,0.0,1,_#rIN,A,2,0,2.36,1.34,0,28,1.0,10,Noun,2.36,_,5,-0.0050000000000003375,2
166,#s,2.5149999999999997,farce,0.6,1,f#s,N,1,0,2.32,1.19,1,29,0.97,89,Noun,2.32,f,3,-0.19499999999999984,2
167,#s,2.5149999999999997,pass,1.45,1,p#s,N,1,0,2.71,1.24,0,28,1.0,5514,Verb,2.71,p,3,0.19500000000000028,2
174,#sP,4.885,castle,1.43,1,k#sP,N,2,0,4.96,0.19,0,28,1.0,1099,Noun,4.96,k,4,0.07500000000000018,2
175,#sP,4.885,parcel,1.08,1,p#sP,N,2,0,4.81,0.56,0,27,1.0,71,Noun,4.81,p,4,-0.07500000000000018,2
176,#sk,3.61,bask,0.6,1,b#sk,V,1,0,3.03,1.22,0,31,1.0,29,Verb,3.03,b,4,-0.5800000000000001,3
177,#sk,3.61,mask,1.3,1,m#sk,N,1,0,4.96,0.19,0,27,1.0,1010,Noun,4.96,m,4,1.35,3
178,#sk,3.61,task,1.92,1,t#sk,N,1,0,2.84,1.28,0,25,1.0,649,Noun,2.84,t,4,-0.77,3
180,#skIt,4.93,basket,1.38,1,b#skIt,N,2,0,5.0,0.0,0,29,1.0,672,Noun,5.0,b,6,0.07000000000000028,2
181,#skIt,4.93,casket,0.3,0,k#skIt,N,2,0,4.86,0.45,0,28,1.0,162,Noun,4.86,k,6,-0.0699999999999994,2
185,#sp,3.66,gasp,0.7,1,g#sp,N,1,0,4.15,1.2,0,27,1.0,88,Noun,4.15,g,4,0.4900000000000002,2
186,#sp,3.66,rasp,0.0,1,r#sp,N,1,0,3.17,1.44,1,30,0.97,5,Noun,3.17,r,4,-0.4900000000000002,2
188,#st,3.1666666666666674,cast,1.36,1,k#st,N,1,0,3.92,1.35,0,26,1.0,1180,Verb,3.92,k,4,0.7533333333333325,6
189,#st,3.1666666666666674,fast,0.3,1,f#st,N,1,0,3.32,1.44,0,28,1.0,7010,Adverb,3.32,f,4,0.15333333333333243,6
190,#st,3.1666666666666674,last,0.0,1,l#st,N,1,0,3.04,1.35,0,28,1.0,36878,Number,3.04,l,4,-0.12666666666666737,6
191,#st,3.1666666666666674,mast,0.48,1,m#st,N,1,0,4.92,0.27,1,27,0.96,83,Noun,4.92,m,4,1.7533333333333325,6
192,#st,3.1666666666666674,past,2.02,1,p#st,N,1,0,1.7,1.1,0,27,1.0,6312,Noun,1.7,p,4,-1.4666666666666675,6
193,#st,3.1666666666666674,vast,1.83,1,v#st,A,1,0,2.1,1.23,0,29,1.0,311,Adjective,2.1,v,4,-1.0666666666666673,6
194,#st@R,3.5,master,1.75,0,m#st@R,N,2,0,2.63,1.31,0,27,1.0,4450,Noun,2.63,m,6,-0.8700000000000001,2
195,#st@R,3.5,pastor,0.6,1,p#st@R,N,2,0,4.37,1.27,0,30,1.0,219,Noun,4.37,p,6,0.8700000000000001,2
200,#stIN,2.67,casting,0.85,1,k#stIN,N,2,0,3.04,1.56,0,27,1.0,212,Verb,3.04,k,6,0.3700000000000001,2
201,#stIN,2.67,lasting,0.95,1,l#stIN,A,2,0,2.3,1.32,0,27,1.0,120,Adjective,2.3,l,6,-0.3700000000000001,2
