,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,Bigram,Conc.M,Conc.SD,Unknown,Total,Percent_known,SUBTLEX,Dom_Pos,Concreteness,onset,word_length,concreteness_impact,set_size
1670,6nd,3.897142857142857,hound,0.85,1,h6nd,N,1,0,4.48,0.91,0,29,1.0,257,Noun,4.48,h,4,0.5828571428571436,7
1671,6nd,3.897142857142857,mound,0.95,1,m6nd,N,1,0,4.63,0.56,0,27,1.0,77,Noun,4.63,m,4,0.7328571428571431,7
1672,6nd,3.897142857142857,pound,2.42,1,p6nd,N,1,0,4.61,0.69,0,28,1.0,708,Noun,4.61,p,4,0.7128571428571435,7
1673,6nd,3.897142857142857,round,1.67,1,r6nd,N,1,0,3.9,1.4,0,29,1.0,3393,Adjective,3.9,r,4,0.0028571428571431134,7
1674,6nd,3.897142857142857,sound,2.18,1,s6nd,N,1,0,3.7,1.44,0,30,1.0,7313,Verb,3.7,s,4,-0.19714285714285662,7
1683,6ns,3.76,bounce,0.3,1,b6ns,N,1,0,3.86,1.38,0,29,1.0,502,Verb,3.86,b,4,0.10000000000000009,2
1684,6ns,3.76,pounce,0.0,1,p6ns,N,1,0,3.66,1.34,0,29,1.0,56,Verb,3.66,p,4,-0.09999999999999964,2
1688,6nt,3.5,count,1.08,1,k6nt,N,1,0,3.0,1.41,0,29,1.0,4588,Verb,3.0,k,4,-0.5,2
1689,6nt,3.5,mount,1.18,1,m6nt,N,1,0,4.0,1.12,0,28,1.0,597,Noun,4.0,m,4,0.5,2
1696,6ntIn,4.865,fountain,1.08,1,f6ntIn,N,2,0,4.77,0.59,0,26,1.0,352,Noun,4.77,f,6,-0.09500000000000064,2
1697,6ntIn,4.865,mountain,1.92,1,m6ntIn,N,2,0,4.96,0.2,0,26,1.0,1805,Noun,4.96,m,6,0.09499999999999975,2
1702,6s,4.366666666666666,douse,0.3,1,d6s,V,1,0,3.27,1.37,4,30,0.87,41,Verb,3.27,d,3,-1.0966666666666662,3
1703,6s,4.366666666666666,house,2.78,1,h6s,N,1,0,5.0,0.0,0,31,1.0,26214,Noun,5.0,h,3,0.6333333333333337,3
1704,6s,4.366666666666666,mouse,1.26,1,m6s,N,1,0,4.83,0.59,0,30,1.0,975,Noun,4.83,m,3,0.4633333333333338,3
1707,6t,3.196,bout,0.95,1,b6t,N,1,0,3.0,1.22,1,29,0.97,974,Noun,3.0,b,3,-0.19600000000000017,5
1708,6t,3.196,doubt,2.18,1,d6t,N,1,0,1.79,1.18,0,29,1.0,3205,Verb,1.79,d,3,-1.4060000000000001,5
1709,6t,3.196,gout,0.3,1,g6t,N,1,0,3.79,1.47,1,25,0.96,71,Noun,3.79,g,3,0.5939999999999999,5
1710,6t,3.196,pout,0.0,1,p6t,N,1,0,3.23,1.48,0,26,1.0,55,Verb,3.23,p,3,0.03399999999999981,5
1711,6t,3.196,shout,1.08,1,S6t,N,1,0,4.17,1.17,0,29,1.0,839,Verb,4.17,S,3,0.9739999999999998,5
1714,6z,2.87,dowse,0.0,1,d6z,V,1,0,3.18,1.44,4,26,0.85,2,Verb,3.18,d,3,0.31000000000000005,2
1715,6z,2.87,rouse,0.95,1,r6z,V,1,0,2.56,1.12,2,27,0.93,47,Verb,2.56,r,3,-0.31000000000000005,2
1718,6zIN,2.775,housing,1.95,1,h6zIN,N,2,0,4.0,1.04,0,25,1.0,207,Noun,4.0,h,5,1.225,2
1719,6zIN,2.775,rousing,0.0,1,r6zIN,A,2,0,1.55,0.8,3,25,0.88,25,Adjective,1.55,r,5,-1.2249999999999999,2
1720,7R,3.316470588235294,beer,1.69,1,b7R,N,1,0,4.88,0.33,0,26,1.0,3850,Noun,4.88,b,3,1.5635294117647058,17
1721,7R,3.316470588235294,cheer,0.78,1,J7R,N,1,0,2.77,1.42,0,26,1.0,953,Verb,2.77,J,3,-0.546470588235294,17
1722,7R,3.316470588235294,dear,1.54,1,d7R,N,1,0,2.25,1.6,0,28,1.0,11395,Interjection,2.25,d,3,-1.066470588235294,17
1723,7R,3.316470588235294,fear,2.16,1,f7R,N,1,0,2.57,1.48,0,28,1.0,3523,Noun,2.57,f,3,-0.7464705882352942,17
1724,7R,3.316470588235294,gear,1.42,1,g7R,N,1,0,4.28,1.0,0,29,1.0,816,Noun,4.28,g,3,0.9635294117647062,17
1725,7R,3.316470588235294,hear,2.7,1,h7R,V,1,0,3.66,1.49,0,29,1.0,28323,Verb,3.66,h,3,0.3435294117647061,17
1726,7R,3.316470588235294,jeer,0.0,1,_7R,N,1,0,2.62,1.56,1,25,0.96,3,Verb,2.62,_,3,-0.696470588235294,17
1727,7R,3.316470588235294,leer,0.0,1,l7R,N,1,0,3.75,0.99,1,25,0.96,26,Name,3.75,l,3,0.43352941176470594,17
1728,7R,3.316470588235294,mere,0.0,1,m7R,N,1,0,1.43,0.73,2,25,0.92,401,Adjective,1.43,m,3,-1.8864705882352941,17
1729,7R,3.316470588235294,near,0.9,1,n7R,ADV,1,0,2.79,1.4,0,28,1.0,4238,Preposition,2.79,n,3,-0.526470588235294,17
1730,7R,3.316470588235294,peer,1.08,1,p7R,N,1,0,3.83,1.39,0,29,1.0,78,Noun,3.83,p,3,0.513529411764706,17
1731,7R,3.316470588235294,rear,1.34,1,r7R,N,1,0,3.59,1.35,0,29,1.0,634,Noun,3.59,r,3,0.2735294117647058,17
1732,7R,3.316470588235294,sear,0.3,1,s7R,V,1,0,3.59,1.45,0,27,1.0,11,Verb,3.59,s,3,0.2735294117647058,17
1733,7R,3.316470588235294,shear,0.6,1,S7R,V,1,0,3.37,1.36,2,29,0.93,21,Verb,3.37,S,3,0.05352941176470605,17
1734,7R,3.316470588235294,tear,1.77,1,t7R,N,1,0,4.56,0.7,0,27,1.0,1377,Verb,4.56,t,3,1.2435294117647056,17
1735,7R,3.316470588235294,veer,0.48,1,v7R,V,1,0,3.19,1.7,3,29,0.9,55,Verb,3.19,v,3,-0.1264705882352941,17
1736,7R,3.316470588235294,year,3.15,1,j7R,N,1,0,3.25,1.32,0,28,1.0,14174,Noun,3.25,j,3,-0.06647058823529406,17
1737,7d,3.275,beard,1.4,1,b7d,N,1,0,4.96,0.19,0,28,1.0,643,Noun,4.96,b,3,1.685,2
1738,7d,3.275,weird,0.85,1,w7d,A,1,0,1.59,0.93,0,27,1.0,5156,Adjective,1.59,w,3,-1.6849999999999998,2
1743,7r5,2.965,hero,1.61,1,h7r5,N,2,0,3.07,1.47,0,27,1.0,2542,Noun,3.07,h,4,0.10499999999999998,2
1744,7r5,2.965,zero,1.23,1,z7r5,N,2,0,2.86,1.68,0,29,1.0,1094,Number,2.86,z,4,-0.10499999999999998,2
1751,7rI,2.1666666666666665,leery,0.0,0,l7rI,A,2,0,2.03,1.18,1,30,0.97,162,Name,2.03,l,4,-0.13666666666666671,3
1752,7rI,2.1666666666666665,theory,2.15,0,T7rI,N,2,0,1.47,0.87,6,6056,1.0,1459,Noun,1.47,T,4,-0.6966666666666665,3
1753,7rI,2.1666666666666665,weary,0.0,1,w7rI,V,2,0,3.0,1.16,0,29,1.0,212,Adjective,3.0,w,4,0.8333333333333335,3
1755,7rIN,3.59,cheering,0.0,1,J7rIN,A,2,0,3.63,1.64,0,27,1.0,690,Verb,3.63,J,5,0.040000000000000036,2
1756,7rIN,3.59,searing,0.3,1,s7rIN,A,2,0,3.55,1.15,0,29,1.0,16,Adjective,3.55,s,5,-0.040000000000000036,2
1760,7s,3.175,fierce,1.32,1,f7s,A,1,0,2.62,1.24,0,29,1.0,244,Adjective,2.62,f,3,-0.5549999999999997,2
1761,7s,3.175,pierce,0.9,1,p7s,V,1,0,3.73,1.31,0,30,1.0,1313,Name,3.73,p,3,0.5550000000000002,2
1766,7z,4.045,cheers,0.3,0,J7z,I,1,0,3.48,1.4,0,29,1.0,1158,Interjection,3.48,J,3,-0.565,2
1767,7z,4.045,shears,0.3,0,S7z,N,1,0,4.61,0.84,0,23,1.0,48,Noun,4.61,S,3,0.5650000000000004,2
1768,8,2.6149999999999998,their,3.46,1,D8,PRON,1,0,3.34,1.49,0,29,1.0,33413,Pronoun,3.34,D,2,0.7250000000000001,2
1769,8,2.6149999999999998,yeah,2.08,1,j8,ADV,1,0,1.89,1.2,0,28,1.0,152262,Interjection,1.89,j,2,-0.7249999999999999,2
1770,8R,3.293076923076924,bare,0.6,1,b8R,V,1,0,3.21,1.21,0,29,1.0,425,Adjective,3.21,b,3,-0.08307692307692394,13
1771,8R,3.293076923076924,care,1.98,1,k8R,N,1,0,2.33,1.14,0,27,1.0,24748,Verb,2.33,k,3,-0.9630769230769238,13
1772,8R,3.293076923076924,chair,2.13,1,J8R,N,1,0,4.58,1.14,0,26,1.0,2511,Noun,4.58,J,3,1.2869230769230762,13
1773,8R,3.293076923076924,dare,0.0,1,d8R,N,1,0,2.28,1.36,0,29,1.0,2826,Verb,2.28,d,3,-1.013076923076924,13
1774,8R,3.293076923076924,fair,1.0,1,f8R,N,1,0,2.39,1.5,0,28,1.0,4832,Adjective,2.39,f,3,-0.9030769230769238,13
1775,8R,3.293076923076924,hair,2.3,1,h8R,N,1,0,4.97,0.19,0,29,1.0,7831,Noun,4.97,h,3,1.6769230769230759,13
1776,8R,3.293076923076924,lair,0.0,1,l8R,N,1,0,3.76,1.21,0,29,1.0,123,Noun,3.76,l,3,0.4669230769230759,13
1777,8R,3.293076923076924,mare,0.6,1,m8R,N,1,0,4.75,0.59,1,29,0.97,148,Noun,4.75,m,3,1.456923076923076,13
1778,8R,3.293076923076924,pair,1.83,1,p8R,N,1,0,3.88,1.27,0,25,1.0,1900,Noun,3.88,p,3,0.586923076923076,13
1779,8R,3.293076923076924,rare,1.73,1,r8R,A,1,0,1.96,1.06,0,25,1.0,1087,Adjective,1.96,r,3,-1.333076923076924,13
1780,8R,3.293076923076924,share,1.81,1,S8R,N,1,0,2.96,1.32,0,28,1.0,3545,Verb,2.96,S,3,-0.33307692307692394,13
1781,8R,3.293076923076924,there,3.53,1,D8R,ADV,1,0,2.2,1.3,0,30,1.0,221754,Ex,2.2,D,3,-1.0930769230769237,13
1782,8R,3.293076923076924,ware,0.3,1,w8R,N,1,0,3.54,1.61,4,30,0.87,112,Name,3.54,w,3,0.24692307692307613,13
1788,8rI,3.0775,dairy,1.04,0,d8rI,N,2,0,4.45,0.83,0,29,1.0,142,Noun,4.45,d,4,1.3725,4
1789,8rI,3.0775,fairy,1.18,0,f8rI,N,2,0,4.11,1.2,0,28,1.0,851,Noun,4.11,f,4,1.0325000000000002,4
1790,8rI,3.0775,vary,1.75,1,v8rI,V,2,0,1.93,1.02,0,28,1.0,47,Verb,1.93,v,4,-1.1475000000000002,4
1791,8rI,3.0775,wary,0.9,0,w8rI,A,2,0,1.82,1.09,0,28,1.0,38,Adjective,1.82,w,4,-1.2575,4
1792,8rIN,2.9,bearing,0.85,1,b8rIN,N,2,0,2.82,1.33,0,28,1.0,486,Verb,2.82,b,5,-0.08000000000000007,5
1793,8rIN,2.9,daring,0.48,1,d8rIN,N,2,0,1.71,1.08,0,28,1.0,214,Adjective,1.71,d,5,-1.19,5
1794,8rIN,2.9,paring,0.0,1,p8rIN,N,2,0,2.92,1.52,4,30,0.87,6,Adjective,2.92,p,5,0.020000000000000018,5
1795,8rIN,2.9,tearing,0.0,1,t8rIN,A,2,0,3.46,1.27,0,26,1.0,327,Verb,3.46,t,5,0.56,5
1796,8rIN,2.9,wearing,0.0,1,w8rIN,A,2,0,3.59,1.37,0,27,1.0,4410,Verb,3.59,w,5,0.69,5
1802,9R,3.81,lure,0.7,1,l9R,N,1,0,3.59,1.4,0,29,1.0,217,Verb,3.59,l,3,-0.2200000000000002,3
1803,9R,3.81,sewer,0.7,0,s9R,N,1,0,4.46,0.96,0,28,1.0,240,Noun,4.46,s,3,0.6499999999999999,3
1804,9R,3.81,tour,1.63,1,t9R,N,1,0,3.38,1.35,0,29,1.0,1571,Noun,3.38,t,3,-0.43000000000000016,3
1877,@kun,4.75,cocoon,0.3,1,k@kun,N,2,0,4.83,0.53,0,30,1.0,57,Noun,4.83,k,5,0.08000000000000007,2
1878,@kun,4.75,raccoon,0.0,1,r@kun,N,2,0,4.67,0.84,0,30,1.0,73,Noun,4.67,r,5,-0.08000000000000007,2
1909,@lun,4.8,balloon,0.78,1,b@lun,N,2,0,4.92,0.27,0,26,1.0,442,Noun,4.92,b,5,0.1200000000000001,2
1910,@lun,4.8,saloon,1.08,1,s@lun,N,2,0,4.68,0.85,0,25,1.0,262,Noun,4.68,s,5,-0.1200000000000001,2
1913,@lut,3.615,pollute,0.95,0,p@lut,V,2,0,2.75,1.38,0,28,1.0,23,Verb,2.75,p,5,-0.8650000000000002,2
1914,@lut,3.615,salute,0.78,1,s@lut,N,2,0,4.48,0.69,0,29,1.0,370,Verb,4.48,s,5,0.8650000000000002,2
1972,@nIl@,4.22,manila,0.3,1,m@nIl@,N,3,0,3.76,1.43,1,30,0.97,74,Name,3.76,m,6,-0.45999999999999996,2
1973,@nIl@,4.22,vanilla,0.3,1,v@nIl@,N,3,0,4.68,0.61,1,29,0.97,203,Noun,4.68,v,6,0.45999999999999996,2
2187,@t3nP,2.355,maternal,1.0,0,m@t3nP,A,3,0,2.42,1.28,0,24,1.0,75,Adjective,2.42,m,6,0.06499999999999995,2
2188,@t3nP,2.355,paternal,0.3,0,p@t3nP,A,3,0,2.29,1.24,0,28,1.0,41,Adjective,2.29,p,6,-0.06499999999999995,2
2222,D@R,1.925,either,2.39,1,2D@R,ADV,2,0,1.81,1.33,0,27,1.0,9308,Adverb,1.81,2,4,-0.11499999999999999,2
2223,D@R,1.925,other,3.21,1,VD@R,PRON,2,0,2.04,1.22,0,27,1.0,37505,Adjective,2.04,V,4,0.11499999999999999,2
2224,ED@R,3.7999999999999994,feather,1.32,0,fED@R,N,2,0,4.9,0.31,0,29,1.0,338,Noun,4.9,f,5,1.100000000000001,6
2225,ED@R,3.7999999999999994,heather,0.7,0,hED@R,N,2,0,3.72,1.54,1,26,0.96,558,Name,3.72,h,5,-0.07999999999999918,6
2226,ED@R,3.7999999999999994,leather,1.56,0,lED@R,N,2,0,4.82,0.61,0,28,1.0,693,Noun,4.82,l,5,1.020000000000001,6
2227,ED@R,3.7999999999999994,nether,0.0,1,nED@R,A,2,0,1.86,1.13,4,26,0.85,20,Adjective,1.86,n,5,-1.9399999999999993,6
2228,ED@R,3.7999999999999994,tether,0.0,0,tED@R,N,2,0,3.67,1.24,0,27,1.0,24,Verb,3.67,t,5,-0.12999999999999945,6
2229,ED@R,3.7999999999999994,weather,1.81,0,wED@R,N,2,0,3.83,1.34,0,29,1.0,1746,Noun,3.83,w,5,0.030000000000000693,6
2231,EJ,3.23,fetch,1.32,1,fEJ,V,1,0,3.42,1.36,0,31,1.0,559,Verb,3.42,f,3,0.18999999999999995,2
2232,EJ,3.23,wretch,0.0,1,rEJ,N,1,0,3.04,1.64,2,28,0.93,83,Noun,3.04,r,3,-0.18999999999999995,2
2242,EZ@R,2.8099999999999996,leisure,1.42,0,lEZ@R,N,2,0,2.03,1.32,0,29,1.0,129,Noun,2.03,l,5,-0.7799999999999998,2
2243,EZ@R,2.8099999999999996,measure,1.86,1,mEZ@R,N,2,0,3.59,1.18,0,29,1.0,537,Verb,3.59,m,5,0.7800000000000002,2
2245,E_,4.556666666666667,hedge,1.26,1,hE_,N,1,0,4.54,0.79,0,28,1.0,79,Noun,4.54,h,3,-0.016666666666666607,3
2246,E_,4.556666666666667,ledge,1.0,1,lE_,N,1,0,4.72,0.74,0,25,1.0,179,Noun,4.72,l,3,0.1633333333333331,3
2247,E_,4.556666666666667,wedge,0.78,1,wE_,N,1,0,4.41,0.91,0,29,1.0,119,Noun,4.41,w,3,-0.1466666666666665,3
2262,EbP,3.965,pebble,0.95,1,pEbP,N,2,0,4.86,0.59,0,28,1.0,65,Noun,4.86,p,4,0.8950000000000005,2
2263,EbP,3.965,rebel,0.95,1,rEbP,N,2,0,3.07,1.54,0,27,1.0,273,Noun,3.07,r,4,-0.895,2
2267,Ed,4.098571428571429,bed,2.43,1,bEd,N,1,0,5.0,0.0,0,29,1.0,9543,Noun,5.0,b,3,0.9014285714285712,7
2268,Ed,4.098571428571429,dead,2.16,1,dEd,A,1,0,4.07,1.27,0,28,1.0,22898,Adjective,4.07,d,3,-0.02857142857142847,7
2269,Ed,4.098571428571429,head,2.71,1,hEd,N,1,0,4.75,0.65,0,28,1.0,18947,Noun,4.75,h,3,0.6514285714285712,7
2270,Ed,4.098571428571429,red,1.26,1,rEd,N,1,0,4.24,1.36,0,25,1.0,7551,Adjective,4.24,r,3,0.14142857142857146,7
2271,Ed,4.098571428571429,said,0.0,1,sEd,A,1,0,2.97,1.59,0,30,1.0,56531,Verb,2.97,s,3,-1.1285714285714286,7
2272,Ed,4.098571428571429,shed,1.11,1,SEd,N,1,0,4.55,0.95,0,29,1.0,560,Verb,4.55,S,3,0.45142857142857107,7
2273,Ed,4.098571428571429,wed,0.0,1,wEd,V,1,0,3.11,1.4,0,27,1.0,125,Verb,3.11,w,3,-0.9885714285714289,7
2280,EdI,3.425,ready,0.0,1,rEdI,N,2,0,2.07,1.31,0,29,1.0,19778,Adjective,2.07,r,4,-1.355,2
2281,EdI,3.425,teddy,0.9,0,tEdI,N,2,0,4.78,0.58,0,27,1.0,811,Name,4.78,t,4,1.3550000000000004,2
2282,EdIN,3.3866666666666667,heading,0.78,1,hEdIN,N,2,0,3.1,1.35,1,30,0.97,1707,Verb,3.1,h,5,-0.2866666666666666,3
2283,EdIN,3.3866666666666667,leading,0.0,1,lEdIN,N,2,0,3.14,1.35,0,28,1.0,1064,Verb,3.14,l,5,-0.2466666666666666,3
2284,EdIN,3.3866666666666667,wedding,1.54,1,wEdIN,N,2,0,3.92,1.32,0,26,1.0,5173,Noun,3.92,w,5,0.5333333333333332,3
2289,EdIk1t,2.865,dedicate,1.0,0,dEdIk1t,V,3,0,2.69,1.26,0,29,1.0,124,Verb,2.69,d,7,-0.17500000000000027,2
2290,EdIk1t,2.865,medicate,0.0,0,mEdIk1t,V,3,0,3.04,1.34,0,27,1.0,22,Verb,3.04,m,7,0.17499999999999982,2
2297,EdP,4.665,medal,1.04,1,mEdP,N,2,0,4.89,0.42,1,29,0.97,590,Noun,4.89,m,4,0.22499999999999964,2
2298,EdP,4.665,pedal,0.3,1,pEdP,N,2,0,4.44,0.97,0,27,1.0,104,Noun,4.44,p,4,-0.22499999999999964,2
2303,Ef,3.8333333333333335,chef,0.48,1,SEf,N,1,0,4.3,1.29,0,30,1.0,606,Noun,4.3,S,3,0.46666666666666634,3
2304,Ef,3.8333333333333335,deaf,0.95,1,dEf,A,1,0,3.27,1.43,0,26,1.0,741,Adjective,3.27,d,3,-0.5633333333333335,3
2305,Ef,3.8333333333333335,ref,0.0,1,rEf,N,1,0,3.93,1.25,1,29,0.97,129,Noun,3.93,r,3,0.09666666666666668,3
2312,Eft,3.3150000000000004,left,1.82,1,lEft,N,1,0,3.7,1.46,0,27,1.0,24707,Verb,3.7,l,4,0.3849999999999998,2
2313,Eft,3.3150000000000004,theft,0.9,1,TEft,N,1,0,2.93,1.41,0,29,1.0,344,Noun,2.93,T,4,-0.38500000000000023,2
2316,Eg,4.3675,beg,1.48,1,bEg,V,1,0,2.96,1.32,0,28,1.0,2600,Verb,2.96,b,3,-1.4074999999999998,4
2317,Eg,4.3675,keg,0.0,1,kEg,N,1,0,4.75,0.65,0,28,1.0,175,Noun,4.75,k,3,0.3825000000000003,4
2318,Eg,4.3675,leg,2.24,1,lEg,N,1,0,4.83,0.59,0,30,1.0,2882,Noun,4.83,l,3,0.46250000000000036,4
2319,Eg,4.3675,peg,0.85,1,pEg,N,1,0,4.93,0.26,0,28,1.0,1857,Name,4.93,p,3,0.5625,4
2328,Ek,4.19,check,1.49,1,JEk,N,1,0,4.11,1.34,0,27,1.0,14228,Verb,4.11,J,3,-0.08000000000000007,6
2329,Ek,4.19,deck,1.3,1,dEk,N,1,0,4.77,0.5,0,30,1.0,1212,Noun,4.77,d,3,0.5799999999999992,6
2330,Ek,4.19,neck,1.9,1,nEk,N,1,0,5.0,0.0,0,27,1.0,3035,Noun,5.0,n,3,0.8099999999999996,6
2331,Ek,4.19,peck,0.0,1,pEk,N,1,0,4.16,0.9,0,31,1.0,180,Name,4.16,p,3,-0.03000000000000025,6
2332,Ek,4.19,tech,0.6,1,tEk,N,1,0,3.03,1.4,1,30,0.97,326,Noun,3.03,t,3,-1.1600000000000006,6
2333,Ek,4.19,wreck,0.9,1,rEk,N,1,0,4.07,1.08,0,30,1.0,697,Noun,4.07,r,3,-0.1200000000000001,6
2340,Ek@n,2.37,beckon,0.9,0,bEk@n,V,2,0,3.0,1.49,2,29,0.93,10,Verb,3.0,b,5,0.6299999999999999,2
2341,Ek@n,2.37,reckon,1.34,1,rEk@n,V,2,0,1.74,1.1,0,27,1.0,596,Verb,1.74,r,5,-0.6300000000000001,2
2359,Eks,2.7533333333333334,hex,0.0,1,hEks,N,1,0,2.16,1.14,1,26,0.96,66,Noun,2.16,h,4,-0.5933333333333333,3
2360,Eks,2.7533333333333334,sex,2.12,1,sEks,N,1,0,4.1,0.94,0,29,1.0,7761,Noun,4.1,s,4,1.3466666666666662,3
2361,Eks,2.7533333333333334,vex,0.3,1,vEks,V,1,0,2.0,1.06,4,28,0.86,10,Verb,2.0,v,4,-0.7533333333333334,3
2364,Ekst,3.745,next,1.74,1,nEkst,A,1,0,2.56,1.55,1,28,0.96,23090,Number,2.56,n,5,-1.185,2
2365,Ekst,3.745,text,1.58,1,tEkst,N,1,0,4.93,0.26,0,29,1.0,267,Noun,4.93,t,5,1.1849999999999996,2
2372,Ekt,3.17,checked,0.3,1,JEkt,A,1,0,2.82,1.36,0,28,1.0,2382,Verb,2.82,J,4,-0.3500000000000001,2
2373,Ekt,3.17,sect,0.7,1,sEkt,N,1,0,3.52,1.18,0,29,1.0,37,Noun,3.52,s,4,0.3500000000000001,2
2375,Ekt@R,4.02,nectar,0.3,1,nEkt@R,N,2,0,4.63,0.67,0,30,1.0,47,Noun,4.63,n,6,0.6100000000000003,2
2376,Ekt@R,4.02,sector,1.81,1,sEkt@R,N,2,0,3.41,1.18,0,29,1.0,360,Noun,3.41,s,6,-0.6099999999999994,2
2385,El,3.8890000000000002,bell,0.0,1,bEl,V,1,0,4.96,0.19,0,28,1.0,2006,Noun,4.96,b,3,1.0709999999999997,10
2386,El,3.8890000000000002,cell,1.83,1,sEl,N,1,0,4.44,1.12,0,27,1.0,2772,Noun,4.44,s,3,0.5510000000000002,10
2387,El,3.8890000000000002,dell,0.3,1,dEl,N,1,0,3.92,1.49,3,29,0.9,124,Name,3.92,d,3,0.030999999999999694,10
2388,El,3.8890000000000002,fell,0.95,1,fEl,V,1,0,3.55,1.3,0,29,1.0,3723,Verb,3.55,f,3,-0.3390000000000004,10
2389,El,3.8890000000000002,gel,0.0,1,_El,N,1,0,4.72,0.53,0,29,1.0,83,Noun,4.72,_,3,0.8309999999999995,10
2390,El,3.8890000000000002,hell,1.95,1,hEl,N,1,0,2.41,1.72,0,29,1.0,24012,Noun,2.41,h,3,-1.479,10
2391,El,3.8890000000000002,shell,1.66,1,SEl,N,1,0,4.8,0.82,0,25,1.0,674,Noun,4.8,S,3,0.9109999999999996,10
2392,El,3.8890000000000002,tell,3.03,1,tEl,V,1,0,2.9,1.4,0,29,1.0,87949,Verb,2.9,t,3,-0.9890000000000003,10
2393,El,3.8890000000000002,well,0.7,1,wEl,N,1,0,3.33,1.58,0,30,1.0,152523,Adverb,3.33,w,3,-0.5590000000000002,10
2394,El,3.8890000000000002,yell,0.3,1,jEl,N,1,0,3.86,1.55,0,29,1.0,939,Verb,3.86,j,3,-0.02900000000000036,10
2395,El5,3.662,bellow,0.7,1,bEl5,V,2,0,3.42,1.47,1,25,0.96,23,Verb,3.42,b,4,-0.242,5
2396,El5,3.662,cello,0.3,1,JEl5,N,2,0,4.96,0.19,1,29,0.97,95,Noun,4.96,J,4,1.298,5
2397,El5,3.662,fellow,1.64,1,fEl5,N,2,0,3.67,1.33,0,27,1.0,2987,Noun,3.67,f,4,0.008000000000000007,5
2398,El5,3.662,mellow,0.3,1,mEl5,V,2,0,1.96,1.0,0,26,1.0,153,Adjective,1.96,m,4,-1.702,5
2399,El5,3.662,yellow,1.08,1,jEl5,N,2,0,4.3,1.06,0,30,1.0,1724,Adjective,4.3,j,4,0.6379999999999999,5
2404,El@n,4.305,felon,0.0,1,fEl@n,N,2,0,3.83,1.37,0,24,1.0,128,Noun,3.83,f,5,-0.47499999999999964,2
2405,El@n,4.305,melon,0.48,1,mEl@n,N,2,0,4.78,0.58,0,27,1.0,218,Noun,4.78,m,5,0.47500000000000053,2
2414,ElI,4.865,belly,1.3,0,bElI,N,2,0,4.8,0.48,0,30,1.0,794,Noun,4.8,b,4,-0.06500000000000039,2
2415,ElI,4.865,jelly,1.04,0,_ElI,N,2,0,4.93,0.26,0,29,1.0,363,Noun,4.93,_,4,0.0649999999999995,2
2433,Eld,3.5199999999999996,meld,0.0,1,mEld,N,1,0,2.86,1.48,2,30,0.93,12,Noun,2.86,m,4,-0.6599999999999997,2
2434,Eld,3.5199999999999996,weld,0.0,1,wEld,N,1,0,4.18,1.02,1,29,0.97,32,Verb,4.18,w,4,0.6600000000000001,2
2436,Elf,4.03,self,1.66,1,sElf,N,1,0,3.1,1.71,0,30,1.0,722,Noun,3.1,s,4,-0.9300000000000002,2
2437,Elf,4.03,shelf,1.45,1,SElf,N,1,0,4.96,0.19,0,27,1.0,355,Noun,4.96,S,4,0.9299999999999997,2
2441,Elm,3.42,helm,0.0,1,hElm,N,1,0,3.88,1.17,4,29,0.86,273,Name,3.88,h,4,0.45999999999999996,2
2442,Elm,3.42,realm,1.04,1,rElm,N,1,0,2.96,1.59,0,25,1.0,238,Noun,2.96,r,4,-0.45999999999999996,2
2444,Elp,3.5975,help,2.13,1,hElp,N,1,0,2.56,1.42,0,27,1.0,46977,Verb,2.56,h,4,-1.0375,4
2445,Elp,3.5975,kelp,0.0,1,kElp,N,1,0,4.9,0.56,1,30,0.97,63,Noun,4.9,k,4,1.3025000000000002,4
2446,Elp,3.5975,whelp,0.0,1,wElp,N,1,0,3.39,1.44,4,27,0.85,24,Noun,3.39,w,4,-0.20750000000000002,4
2447,Elp,3.5975,yelp,0.0,1,jElp,V,1,0,3.54,1.2,0,28,1.0,7,Noun,3.54,j,4,-0.05750000000000011,4
2449,Elt,4.086,belt,1.43,1,bElt,N,1,0,4.9,0.56,0,29,1.0,1242,Noun,4.9,b,4,0.8140000000000001,5
2450,Elt,4.086,felt,0.0,1,fElt,N,1,0,3.04,1.34,0,26,1.0,6111,Verb,3.04,f,4,-1.0460000000000003,5
2451,Elt,4.086,melt,1.38,1,mElt,V,1,0,3.96,1.07,0,28,1.0,373,Verb,3.96,m,4,-0.12600000000000033,5
2452,Elt,4.086,pelt,0.0,1,pElt,N,1,0,4.1,1.47,1,30,0.97,48,Name,4.1,p,4,0.013999999999999346,5
2453,Elt,4.086,welt,0.0,1,wElt,N,1,0,4.43,1.1,0,28,1.0,9,Noun,4.43,w,4,0.3439999999999994,5
2457,EltIN,3.455,belting,0.0,1,bEltIN,N,2,0,3.08,1.23,0,26,1.0,5,Verb,3.08,b,6,-0.375,2
2458,EltIN,3.455,melting,0.0,1,mEltIN,A,2,0,3.83,1.2,0,29,1.0,168,Verb,3.83,m,6,0.375,2
2461,Elv,3.365,delve,0.3,1,dElv,V,1,0,2.32,1.44,3,28,0.89,14,Verb,2.32,d,4,-1.0450000000000004,2
2462,Elv,3.365,shelve,0.6,1,SElv,V,1,0,4.41,1.05,0,27,1.0,10,Verb,4.41,S,4,1.045,2
